Disc,journal,title,vol,year,,issue,pages,PageFrom,PageTp,url,abstract,Author,A1Delim,A2Delim,A3Delim,A4Delim,A5Delim,A6Delim,A7Delim,A8Delim,A9Delim,Auth1,Auth2,Auth3,Auth4,Auth5,Auth6,Auth7,Auth8,Auth9,PgDelim,PgFrom,PgTo,X
6,Academy of Management Learning {\&} Education,"Even if the Tower Is Ivory,  It Isn't White:"" Understanding the Consequences of Faculty Cynicism.""",6,2007,,1,9--32,NA,NA,,prompted seemingly growing level cynicism within academia part academy members particular developed new measure cynicism investigated previously untested structural modeling cynicism related sequence organizational identification affective commitment job satisfaction turnover intentions data obtained faculty members participants academy meeting structural equation modeling represent test hypothesized latent structure respective constructs well proposed structural paths constructs support found convergent discriminant validity constructs underlying structural modeling network proposed relationships well avenues future discussed author,"Bedeian, Arthur G",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bedeian, Arthur G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,2,9,32,
6,Academy of Management Learning {\&} Education,Reflections on Executive Education: The User and Provider's Perspectives.,6,2007,,3,401--411,NA,NA,,interview insurance executive julie harrison allianz group nick shreiber executive tetra pak takako kawashima hitachi institute development presented three discuss see advantages executive uses studies foster leadership skills another question asks criteria selecting provider quality faculty effects decision,"B{\{u}}chel, Bettina; Antunes, Don",21,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"B{\{u}}chel, Bettina","Antunes, Don",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,401,411,
6,Academy of Management Learning {\&} Education,Creating Transformational Executive Education Programs.,6,2007,,3,375--387,NA,NA,10.5465/AMLE.2007.26361627 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361627{\&}site=ehost-live{\&}scope=site,essay concerns design transformational executive program transformational program presupposes change behavior attending executive latter becomes personal organizational change understand influences transformational process three triangular conceptual frameworks building short term dynamic psychotherapy tradition presented mental life triangle conflict triangle relationships triangle first shows cognitive emotional processes need taken consideration create changes behavior second sources thoughts feelings may prompt anxiety cause defensive reactions prohibiting change productive talents third relationships triangle explains individual previous experiences create patterns response repeated throughout life become dysfunctional five major challenges program design also examined selecting participants identifying focal issue participants need work creation safe transitional space enables change process using group dynamic foster transformation arrive internalization change process educational faculty facilitators coaches author,"De Vries, Manfred Kets; Korotov, Konstantin",23,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"De Vries, Manfred Kets","Korotov, Konstantin",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,375,387,
6,Academy of Management Learning {\&} Education,Executive Education: A View From the Top.,6,2007,,3,388--400,NA,NA,10.5465/AMLE.2007.26361628 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361628{\&}site=ehost-live{\&}scope=site,period retrenchment executive grown rapidly several years businessweek many school invest executive generate funds faculty development internal operations faculty members opportunities earn income gain knowledge exposure industries companies executives providers view core competency primary raison etre school rankings game now fully incorporated providers now compete aggressively revenue reputation stature see businessweek financial times report interviews heads five leading providers interviews develop picture dynamic evolving industry educational process diversity players perspectives draw interviews identify areas future inquiry complements contribution issue chel antunes focuses customer perspective,"Doh, Jonathan P; Stumpf, Stephen A",16,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Doh, Jonathan P","Stumpf, Stephen A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,388,400,
6,Academy of Management Learning {\&} Education,"Out of this World"" High-Performing Teams.""",6,2007,,3,412--415,NA,NA,10.5465/AMLE.2007.26361630 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361630{\&}site=ehost-live{\&}scope=site,discusses lessons applicable executive taken motion picture apollo musical west side story jazz musician miles davis author feel using videos leadership skills viable accomplishes books film apollo contains many lessons appropriate let others make decision west side story also collaborative project required men huge egos collaborate miles davis said deftly lead musicians like herbie hancock create three different styles jazz,"Fisher, Bill; Boynton, Andy",13,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Fisher, Bill","Boynton, Andy",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,412,415,
6,Academy of Management Learning {\&} Education,Teaching Executives and Teaching MBAs: Reflections on the Case Method.,6,2007,,3,364--374,NA,NA,10.5465/AMLE.2007.26361626 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361626{\&}site=ehost-live{\&}scope=site,draw interviews experienced executive teachers young recently shifted executive explore distinctive features executive contrasted mba environment interviews highlight differences three broad areas program characteristics dynamics area examine associated pedagogical challenges develop preparation planning session design leadership author,"Garvin, David A",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Garvin, David A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,364,374,
6,Academy of Management Learning {\&} Education,Taking a Red Pill to Disempower Unethical Students: Creating Ethical Sentinels in Business Schools.,6,2007,,4,534--542,NA,NA,10.5465/AMLE.2007.27694953 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=27694953{\&}site=ehost-live{\&}scope=site,focuses creation ethics sentinels school particular attention given ethics choices confronting educator well significance shaping world views interests author argues educator following implicit orders powerful interests creating world views fit control resources continues stating behalf organizational socialized think act organizational want topic include ethics organizational priorities realistic interpretation educator three ethics sentinels reality educator responsibilities,"Giacalone, Robert A",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Giacalone, Robert A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,534,542,
6,Academy of Management Learning {\&} Education,"Enacting the Role of Management Professor: Lessons From Athena, Prometheus, and Asclepius.",6,2007,,4,439--457,NA,NA,10.5465/AMLE.2007.27694945 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=27694945{\&}site=ehost-live{\&}scope=site,explore professors define roles educator explore relate upon qualitative professors responses world crisis find three distinct ways professors define role definitions best framed greek archetypes athena prometheus asclepius describing contrasting three archetypal frames discuss professors enactment role general author,"Greenberg, Danna N; Clair, Judith A; Maclean, Tammy L",19,36,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Greenberg, Danna N","Clair, Judith A","Maclean, Tammy L",-x-,-x-,-x-,-x-,-x-,-x-,4,439,457,
6,Academy of Management Learning {\&} Education,Does the GMAT Matter for Executive MBA Students? Some Empirical Evidence.,6,2007,,2,206--216,NA,NA,10.5465/AMLE.2007.25223459 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223459{\&}site=ehost-live{\&}scope=site,examine relation several factors including gmat score undergraduate background work experience success executive mba program gmat score found weak relation overall success executive mba although positively significantly related performance smaller set first year found work experience particularly career advancement significantly positively related overall program performance results also show significant grade differences gender indicating women performed well better men similar credentials author,"Gropper, Daniel M",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Gropper, Daniel M",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,206,216,
6,Academy of Management Learning {\&} Education,Developing Paradigmatic Awareness in University Business Schools: The Challenge for Executive Education.,6,2007,,3,332--343,NA,NA,10.5465/AMLE.2007.26361624 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361624{\&}site=ehost-live{\&}scope=site,question school forms executive effectively contribute enhancement practitioner capabilities using insights humanities remains underexplored sustained pressure school adopt curriculum pedagogical appears immediately relevant perceived needs practitioners overwhelming yet universities distinct consultancies professional institutes traditionally well established forums intellectual exchange encourage crossfertilization among disciplines maintain school school uniquely positioned internal school wide expertise core capabilities inculcate paradigmatic awareness among executives enable enlarge horizons understanding hence extend decisional possibilities true competitive advantage school school corporate universities training institutes consultancies maintain school school paradoxically invaluable industry becoming overly anxious immediate relevance recognizing development individual whole exposure plurality paradigms perspectives sets universities apart makes distinct executive providers value practitioner world offering truly fresh insights genuine radical alternatives executive problem situations novel interpretations counterintuitive received wisdom best practice author,"Harrison, Richard T; Leitch, Claire M; Chia, Robert",20,38,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Harrison, Richard T","Leitch, Claire M","Chia, Robert",-x-,-x-,-x-,-x-,-x-,-x-,4,332,343,
6,Academy of Management Learning {\&} Education,Analogically Situated Experiences: Creating Insight Through Novel Contexts.,6,2007,,3,321--331,NA,NA,10.5465/AMLE.2007.26361623 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361623{\&}site=ehost-live{\&}scope=site,analogically situated experiences innovative pedagogical incorporate principles analogically situated experiential analogical situated experience involves immersing participants novel simulated context specifically chosen produce insightful participants work context explain theoretical rationale success analogically situated experiences argue traits executives exhibit experts field make analogically situated experiences particularly suited executive author,"Houde, Joseph",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Houde, Joseph",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,321,331,
6,Academy of Management Learning {\&} Education,Critical Biography and Management Education.,6,2007,,1,104--108,NA,NA,10.5465/AMLE.2007.24401707 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401707{\&}site=ehost-live{\&}scope=site,united states tends structured around best practices linear summaries relevant supplemented critical biography biographies thinkers practitioners may illuminate process problem solving individuals varied values varied contexts,"Jacobs, David",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Jacobs, David",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,104,108,
6,Academy of Management Learning {\&} Education,A Meta-Analysis of the Predictive Validity of the Graduate Management Admission Test (GMAT) and Undergraduate Grade Point Average (UGPA) for Graduate Student Academic Performance.,6,2007,,1,51--68,NA,NA,10.5465/AMLE.2007.24401702 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401702{\&}site=ehost-live{\&}scope=site,considerable debate within outside circles surrounds validity standardized tests predicting performance graduate school meta aggregates existing literature validity two heavily predictors school admissions gmat undergraduate grade point average results independent samples across indicate gmat superior predictor ugpa two combined yield high level validity predicting performance author,"Kuncel, Nathan R; Cred{\'{e}}, Marcus; Thomas, Lisa L",17,38,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Kuncel, Nathan R","Cred{\'{e}}, Marcus","Thomas, Lisa L",-x-,-x-,-x-,-x-,-x-,-x-,3,51,68,
6,Academy of Management Learning {\&} Education,Critical Management Education in Action: Personal Tales of Management Unlearning.,6,2007,,1,109--113,NA,NA,10.5465/AMLE.2007.24401708 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401708{\&}site=ehost-live{\&}scope=site,essay explore personal experiences practicing manager offer autobiographical stories time emphasize particular political emotional dimensions narratives illustrate shortcomings exclude critical perspectives illustrate potential value receiving critical cme value feel spite practical difficulties desire aim toward becoming critically informed managers author,"Learmonth, Mark",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Learmonth, Mark",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,109,113,
6,Academy of Management Learning {\&} Education,Big Organizations Are Unhealthy Environments for Human Beings.,6,2007,,2,253--263,NA,NA,10.5465/AMLE.2007.25223464 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223464{\&}site=ehost-live{\&}scope=site,prefatory note essay something confessional personal piece emerged near epiphany hit one day obvious reason never fond large organizational though means small organizational quite lovable like many colleagues researched big american overseas organizational consulted tried help humanize conducted course seminars people abroad school prepared participate focused professional life around despite liking indeed often bonding many people big organizational now realize long felt rather distanced institutions implicitly viewing unhealthy places humans flawed erosive imprisoning add though now conscious standoffish posture plan abandon written american perspective believe big organizational everywhere today well yesterday psychologically unhealthy environments also suspect semiconscious negativity shared many others community organizational social scientists consultants executives influenced ways haven fully aware acknowledging reality get may even help make organizational livable well author,"Leavitt, Harold J",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Leavitt, Harold J",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,253,263,
6,Academy of Management Learning {\&} Education,The Academic Life: Realistic Changes Needed for Business School Students and Faculty.,6,2007,,2,236--251,NA,NA,10.5465/AMLE.2007.25223462 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223462{\&}site=ehost-live{\&}scope=site,school paid lot attention restructuring invigorating mba executive offerings little attention phd program increasing demand qualified professors decreasing supply however urgent need examine phd well need preparing future professors meet changing demands phd need know mbas executives successful researchers entrepreneurship get grants ethics modeling citizens eye new future describe realistic job preview phds will need know successful faculty members cover needed knowledge content service skills career stages need successfully navigated getting job surviving assistant professor getting tenure professional roles journal editor consultant department chair examine different ways phds acquire information informal formal mechanisms section highlights changing demands school faculty close overall evaluation possible changes call school examine phd issues mind author,"Mitchell, Terence R",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Mitchell, Terence R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,236,251,
6,Academy of Management Learning {\&} Education,Suppose We Took Evidence-Based Management Seriously: Implications for Reading and Writing Management.,6,2007,,1,153--155,NA,NA,10.5465/AMLE.2007.24401715 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401715{\&}site=ehost-live{\&}scope=site,relates response author hard facts dangerous half truths total nonsense profiting evidence within march issue academy author hope engage others conversation reading writing theory author respond criticism book challenge others respond hopes conversation will stimulate data gathering total nonsense profiting evidence within march issue academy author hope engage others conversation reading writing theory author respond criticism book challenge others respond hopes conversation will stimulate data gathering,"Pfeffer, Jeffrey; Sutton, Robert I",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Pfeffer, Jeffrey","Sutton, Robert I",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,153,155,
6,Academy of Management Learning {\&} Education,Teaching the Virtual Generation.,6,2007,,1,69--80,NA,NA,10.5465/AMLE.2007.24401703 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401703{\&}site=ehost-live{\&}scope=site,using gioia brass generation point departure considering current instructional environment focus relatively development pedagogies fact longer verbal even just visual now virtual generation technological social changes wider environment major pedagogies optimal occur styles align styles reason consider key principles light styles current generation quite facile virtual technologies argue electronic tool useful engaging means addressing generation preferences virtual media also enabling directed interactivity via online searches games simulations etc first articulate conceptual grounds arguing another shift environment now face implies necessary adaptation traditional principles discuss technologies applications mainly internet tool videogames facilitate convergence virtual generation gen preferences interactions guidelines using technologies fulfil principles pitfalls occur avoid,"Proserpio, Luigi; Gioia, Dennis A",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Proserpio, Luigi","Gioia, Dennis A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,69,80,
6,Academy of Management Learning {\&} Education,Toward an Epistemology of Practice.,6,2007,,4,495--519,NA,NA,10.5465/AMLE.2007.27694950 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=27694950{\&}site=ehost-live{\&}scope=site,postexperience many parts world unfortunately overlooked practice contribute knowledge base interactively distinctly ultimately need synthesis theory practice prepare thoughtful practitioners using conceptual practical constructionist thought borrowing tool tacit knowledge critical reflection mastery propose means effect synthesis needed new epistemology practice adds praxis order help learners deconstruct structures system embed social environments also examine particular competencies emanate practice practice epistemology discussed author,"Raelin, Joseph A",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Raelin, Joseph A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,495,519,
6,Academy of Management Learning {\&} Education,Restraining Golem and Harnessing Pygmalion in the Classroom: A Laboratory Study of Managerial Expectations and Task Design.,6,2007,,4,475--483,NA,NA,10.5465/AMLE.2007.27694947 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=27694947{\&}site=ehost-live{\&}scope=site,seeking enhance educator trainers demonstrating growing interest understanding positive expectations resulting pygmalion effect unfortunately true impact golem effect pygmalion reverse gone unproven potential negative effects wholly understood furthermore literature largely fails address extent pygmalion related effects may differ task design examines effect verbalized expectations negative positive performance school undergraduate analyses using pre posttreatment data collected controlled laboratory experiments indicated notably negative expectations performance cognitively tasks tend degrade performance effects noncognitively tasks however positive positive expectations opposite effect related applications discussed author,"Reynolds, Dennis",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Reynolds, Dennis",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,475,483,
6,Academy of Management Learning {\&} Education,Educating Managers From an Evidence-Based Perspective.,6,2007,,1,84--101,NA,NA,10.5465/AMLE.2007.24401705 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401705{\&}site=ehost-live{\&}scope=site,evidence ebm means managerial decision organizational practices informed best available scientific evidence essay describe core features educational processes promoting ebm include mastering behavioral principles science clear developing procedural knowledge practice feedback reflection also identify key factors organizational practice inhibit ebm ways overcome author,"Rousseau, Denise M; McCarthy, Sharon",19,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Rousseau, Denise M","McCarthy, Sharon",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,84,101,
6,Academy of Management Learning {\&} Education,Developing Intuitive Awareness in Management Education.,6,2007,,2,186--205,NA,NA,10.5465/AMLE.2007.25223458 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223458{\&}site=ehost-live{\&}scope=site,spite fact researchers suggest managers intuition decision solving problem development largely ignored shied away including intuition curriculum reported reported evaluated attempts development managers intuitive awareness either school company program offer justification inclusion intuition report design implementation evaluation program development managers intuitive awareness program combination training extended practice employing variety innovative experiential techniques program evaluated means content analyses logs participants compiled practice phase participants reported positively program documented effects number areas related context intuition inner outer intuitive process time place pace sense perspective self confidence inter intrapersonal sensitivity metacognition application development personal reflections discussed author,"Sadler-Smith, Eugene; Shefy, Erella",21,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Sadler-Smith, Eugene","Shefy, Erella",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,186,205,
6,Academy of Management Learning {\&} Education,Factors That Influence Recruiters' Choice of B-Schools and Their MBA Graduates: Evidence and Implications for B-Schools.,6,2007,,2,217--233,NA,NA,10.5465/AMLE.2007.25223460 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223460{\&}site=ehost-live{\&}scope=site,examine valued mba recruiters analyzing data sample school reveals characteristics act main factor guiding firms perceptions beyond reputation derived media rankings program value moreover shows neither performance school public private nature determining factors perceptions recruiters conclude recommendations school basis author,"Saf{\'{o}}n, Vicente",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Saf{\'{o}}n, Vicente",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,217,233,
6,Academy of Management Learning {\&} Education,"Management Education in the Emerging Knowledge Economy: Going Beyond Those Who Can, Do: Those who can't, teach",6,2007,,4,558--567,NA,NA,,variety recently raised concerns may arisen universities traditionally operated monopoly enterprise knowledge now must compete knowledge market concerns may manifest symptoms obsolescence within traditional practices rather falling short ideals educator may need compete market addition within competitive market author,"Seers, Anson",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Seers, Anson",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,558,567,
6,Academy of Management Learning {\&} Education,Want Better Business Theories? Maybe Karl Popper Has the Answer.,6,2007,,2,272--280,NA,NA,10.5465/AMLE.2007.25223466 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223466{\&}site=ehost-live{\&}scope=site,sumantra ghoshal academy argued theories currently mba program causal factor triggering wave corporate scandals united states lack theory building contemporary identified dominance graduate agency theory primary culprit problem essay outline cognitive philosophy science shift school culture thomas kuhn normal science paradigm framework karl popper revolutionary science methodology mitigate many dysfunctions ghoshal catalogues position published literature contemporary trends theory graduate course administrative sciences also suggest transition made mba program will continue lose societal organizational legitimacy author,"Shareff, Reginald",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Shareff, Reginald",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,272,280,
6,Academy of Management Learning {\&} Education,Does the 360 Feedback Process Create Actionable Knowledge Equally Across Cultures?,6,2007,,1,33--50,NA,NA,10.5465/AMLE.2007.24401701 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401701{\&}site=ehost-live{\&}scope=site,essential organization capacity sustainable growth ability managers learn better skills improve performance millions dollars spent year development initiatives often fail transfer performance gains primarily due insufficient support given transfer process one initiative companies develop managerial skills feedback process process recognized value inherent ability reinforce create actionable knowledge companies gone far assume feedback process will apply equally across cultures given different cultures hold different values assumption needs examined question cultural relevance feedback process examined across five countries results support overall process across combined sample comparisons among five countries however revealed differences results examined hofstede four work related values feedback process found cultures low power distance individualistic values practice discussed author,"Shipper, Frank; Hoffman, Richard C; Rotondo, Denise M",15,35,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Shipper, Frank","Hoffman, Richard C","Rotondo, Denise M",-x-,-x-,-x-,-x-,-x-,-x-,3,33,50,
6,Academy of Management Learning {\&} Education,Management History and Historical Context: Potential Benefits of Its Inclusion in the Management Curriculum.,6,2007,,4,522--533,NA,NA,10.5465/AMLE.2007.27694952 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=27694952{\&}site=ehost-live{\&}scope=site,one contained van fleet wren report history school indicated prevalence instruction doctoral undergraduate levels decreased since survey dialogue promotes inclusion history historical context curriculum discusses several benefits may derived author,"Smith, George E",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Smith, George E",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,522,533,
6,Academy of Management Learning {\&} Education,The Distinctive Challenge of Educating Social Entrepreneurs: A Postscript and Rejoinder to the Special Issue on Entrepreneurship Education.,6,2007,,2,264--271,NA,NA,10.5465/AMLE.2007.25223465 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223465{\&}site=ehost-live{\&}scope=site,september academy published special issue role training development entrepreneurship despite significant contribution current thinking entrepreneurship consider special issue contains omission social entrepreneurship individuals develop economically sustainable solutions social problem essay seek address omission outline distinctive challenges issues involved developing entrepreneurship combine social commercial objectives author,"Tracey, Paul; Phillips, Nelson",13,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Tracey, Paul","Phillips, Nelson",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,264,271,
6,Academy of Management Learning {\&} Education,The As-Is Journal Review Process: Let Authors Own Their Ideas.,6,2007,,1,128--136,NA,NA,10.5465/AMLE.2007.24401710 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=24401710{\&}site=ehost-live{\&}scope=site,recently problem associated existing journal review process aroused discussions seasoned researchers also made useful suggestions improving process complement suggestions propose radical change manuscript reviewed basis fate determined one round review review process shortens time period submission final acceptance reduces workload editors referees author provides frank author feedback referees lets author ideas publications,"Tsang, Eric W K; Frey, Bruno S",16,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Tsang, Eric W K","Frey, Bruno S",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,128,136,
6,Academy of Management Learning {\&} Education,Relevance and Rigor: Executive Education as a Lever in Shaping Practice and Research.,6,2007,,3,345--362,NA,NA,10.5465/AMLE.2007.26361625 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=26361625{\&}site=ehost-live{\&}scope=site,professional school school aspire couple rigor managerial relevance however concern school increasingly uncoupled practice school lacks world relevance relevance rigor gap affects quality well institutional legitimacy school argue executive underutilized context enhance quality faculty well impact managerial practice using evaluation data variations single executive program find action program significantly enhance individual organizational compared traditional executive formats action program also enhance efforts building results experiences suggest executive general action particular fertile contexts school bridge relevance rigor gap author,"Tushman, Michael L; Fenollosa, Amy; McGrath, Daniel N; O'Reilly, Charles; Kleinbaum, Adam M",19,35,54,73,-9,#N/A,#N/A,#N/A,#N/A,"Tushman, Michael L","Fenollosa, Amy","McGrath, Daniel N","O'Reilly, Charles","Kleinbaum, Adam M",-x-,-x-,-x-,-x-,4,345,362,
6,Academy of Management Learning {\&} Education,Understanding and Measuring Linear--NonLinear Thinking Style for Enhanced Management Education and Professional Practice.,6,2007,,2,167--185,NA,NA,10.5465/AMLE.2007.25223457 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=25223457{\&}site=ehost-live{\&}scope=site,various past studies compete seemingly contradict one another presentation valuable alternatives rational logical thinking improving decision problem solving contribute integration past propose test multifaceted construct thinking style two primary dimensions linear thinking rationality logic analytic thinking nonlinear thinking intuition insight creativity present validate four separate studies self report diagnostic instrument linear nonlinear thinking style profile lntsp measuring individual linear nonlinear thinking style profile validation results across professional managerial samples reveal factor modeling linear nonlinear thinking style involving manner individuals attend particular kind information source internal external subsequent linear versus nonlinear processing information results also indicate lntsp acceptable convergent validity vis vis two commonly conceptually related instruments myers briggs type indicator mbti cognitive style index well external validity face validity across different major program liberal arts engineering individuals distinctly different professional careers professional actors accounting managerial professional workshop participants discuss results future well possible beneficial lntsp practice author,"Vance, Charles M; Groves, Kevin S; Paik, Yongsun; Kindler, Herb",17,34,49,-9,#N/A,#N/A,#N/A,#N/A,#N/A,"Vance, Charles M","Groves, Kevin S","Paik, Yongsun","Kindler, Herb",-x-,-x-,-x-,-x-,-x-,4,167,185,
6,Academy of Management Learning {\&} Education,Leadership Integrity in a Fractured Knowledge World.,6,2007,,4,543--557,NA,NA,10.5465/AMLE.2007.27694954 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=27694954{\&}site=ehost-live{\&}scope=site,hear much talk today knowledge economy reality stark far complex world divided haves nots world sustainable ecologically perhaps politically source new ideas shifting toward integrated rather fractured knowledge economy following present background arguments nature knowledge economy highlight current fractures world suggest possible content environmental societal arenas develop leadership managers capable taking types actions needed create ecological sustainability integrated knowledge world author,"Waddock, Sandra",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Waddock, Sandra",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,543,557,
