"","words","term.freq","doc.freq"
"1288","electronics",14,9
"1319","bill",14,12
"1362","imposed",14,14
"1385","negotiate",14,14
"1471","categorized",14,12
"1569","authorship",14,14
"1621","terminology",14,14
"1747","supplemental",14,13
"1797","recruit",14,14
"1814","intelligent",14,10
"1826","streams",14,10
"1838","decreases",14,13
"1978","reforms",14,14
"2069","rare",14,14
"2115","simulate",14,14
"2117","london",14,12
"2306","losses",14,13
"2333","correctly",14,13
"2368","pool",14,14
"2413","iterations",14,13
"2514","admission",14,13
"2575","weighted",14,10
"2622","weight",14,12
"2634","requisite",14,14
"2641","retailers",14,9
"2720","plausible",14,13
"2788","complaints",14,11
"2833","comply",14,13
"2849","scrutiny",14,14
"2900","equip",14,13
"2917","richer",14,14
"2923","stocks",14,11
"2940","facilitation",14,12
"2996","concurrently",14,14
"3073","efficiently",14,14
"3087","mentioned",14,14
"3166","channel",14,12
"3213","motivates",14,14
"3215","encounters",14,12
"3224","minutes",14,14
"3315","holds",14,14
"3323","adequacy",14,13
"3341","regards",14,13
"3357","complements",14,13
"3366","shed",14,14
"3426","submitted",14,14
"3464","pursuit",14,14
"3515","failing",14,13
"3573","trainers",14,12
"3687","conversations",14,10
"3727","released",14,12
"3732","block",14,13
"3766","ineffective",14,13
"3815","writers",14,13
"3877","rooted",14,14
"3964","restructuring",14,12
"3983","properly",14,13
"3988","names",14,13
"4064","suppliers",14,12
"4066","performances",14,14
"4107","parent",14,5
"4127","operates",14,14
"4160","advocated",14,13
"4320","cope",14,14
"4354","arkansas",14,10
"4371","town",14,10
"4449","believes",14,13
"4477","bottom",14,13
"4490","listing",14,13
"4725","regarded",14,14
"4824","appeal",14,14
"4923","eventually",14,14
"4958","offs",14,12
"4962","baccalaureate",14,11
"4965","freshmen",14,11
"4975","wine",14,5
"5032","otherwise",14,13
"5051","contents",14,12
"5069","generations",14,12
"5135","reaction",14,14
"5151","chose",14,14
"5227","esteem",14,10
"5292","tasked",14,12
"5371","reverse",14,13
"5392","unintended",14,14
"5425","october",14,11
"5428","interviewing",14,11
"5454","derivation",14,6
"5456","differed",14,14
"5471","broadly",14,14
"5573","exclusively",14,12
"5720","contrasted",14,14
"5873","globe",14,13
"5974","fear",14,13
"6002","endeavors",14,14
"6248","limits",14,13
"6251","interactivity",14,12
"6314","proved",14,14
"6338","air",14,9
"6369","overcoming",14,14
"6373","tends",14,13
"6374","audiences",14,11
"6567","vba",14,7
"6705","spirit",14,14
"6723","assumed",14,14
"6751","plants",14,7
"6785","transparent",14,10
"7185","thesis",14,12
"7188","refereed",14,10
"7362","charts",14,9
"7430","partly",14,13
"7604","absenteeism",14,7
"7648","associates",14,13
"7681","elearning",14,7
"7746","rising",14,14
"7893","tailored",14,13
"7904","nationality",14,9
"7923","specifications",14,10
"8071","calculated",14,12
"8074","trips",14,10
"8117","flipped",14,6
"8207","avenues",14,14
"8453","buying",14,10
"8468","dominated",14,14
"8531","targeting",14,11
"8717","identities",14,12
"8899","shocks",14,6
"8989","payment",14,12
"9206","summaries",14,8
"9961","mainstream",14,12
"9996","stay",14,14
"10151","logistic",14,13
"10420","morality",14,11
"10498","abridged",14,14
"10628","strive",14,13
"11347","sea",14,6
"11455","successes",14,14
"11890","permission",14,14
"11999","certifications",14,5
"12083","secondly",14,13
"13422","mst",14,2
"16","consultant",13,12
"125","responds",13,13
"186","alpha",13,9
"244","separately",13,13
"404","composite",13,11
"435","dollars",13,13
"744","secure",13,10
"749","authenticity",13,11
"1105","exemplar",13,10
"1211","ends",13,13
"1298","questionable",13,10
"1333","twofold",13,13
"1334","embedding",13,12
"1422","burden",13,8
"1527","refine",13,13
"1533","tolerance",13,8
"1579","graduated",13,12
"1633","worthwhile",13,12
"1775","designated",13,11
"1919","chair",13,9
"1932","ambiguous",13,13
"1988","outlining",13,13
"2146","player",13,10
"2206","contemplating",13,13
"2383","fraudulent",13,10
"2462","arena",13,13
"2494","readability",13,6
"2495","illustrations",13,12
"2760","quest",13,12
"2865","georgia",13,9
"2978","revealing",13,13
"3014","netpresentvalue",13,11
"3018","convenience",13,13
"3057","ahead",13,12
"3210","accurately",13,12
"3217","assistant",13,12
"3355","box",13,10
"3410","confront",13,13
"3450","lived",13,13
"3473","occurrence",13,13
"3510","michael",13,9
"3690","inferences",13,9
"3793","cfo",13,8
"3800","promise",13,13
"3933","consolidation",13,12
"3963","seemingly",13,13
"4018","outlets",13,11
"4067","wall",13,13
"4106","chapters",13,13
"4141","professionally",13,11
"4144","advocate",13,11
"4197","lsi",13,5
"4249","decided",13,13
"4252","transferred",13,13
"4275","deeply",13,13
"4367","developer",13,9
"4393","aggregation",13,6
"4407","visit",13,10
"4423","purely",13,12
"4517","counter",13,13
"4554","accessed",13,13
"4588","recording",13,12
"4590","salient",13,13
"4604","massive",13,12
"4609","separation",13,7
"4617","essence",13,13
"4669","accessibility",13,12
"4695","message",13,12
"4709","multitude",13,13
"4758","feasible",13,13
"4760","manuscripts",13,6
"4765","submission",13,11
"4829","articulate",13,12
"4840","augmented",13,11
"4917","forced",13,13
"4930","performers",13,8
"5017","positioning",13,12
"5020","knowing",13,13
"5075","maker",13,12
"5121","originally",13,13
"5176","protect",13,12
"5183","captured",13,13
"5230","hardware",13,12
"5247","mutually",13,11
"5248","exclusive",13,12
"5407","name",13,13
"5457","careful",13,13
"5486","facility",13,12
"5523","acknowledge",13,13
"5578","stem",13,5
"5580","menu",13,9
"5617","subset",13,13
"5717","younger",13,13
"5724","mostly",13,13
"5755","estimating",13,11
"5785","eps",13,3
"5800","insightful",13,13
"5846","mexican",13,5
"5880","awarded",13,11
"5921","broaden",13,13
"6009","tell",13,12
"6051","excess",13,6
"6073","latest",13,13
"6110","distinctive",13,12
"6246","elaborate",13,12
"6258","handling",13,12
"6263","softwaretool",13,9
"6332","sum",13,7
"6355","setup",13,10
"6398","handle",13,13
"6408","chart",13,7
"6412","replicated",13,13
"6419","trial",13,7
"6455","politics",13,11
"6485","static",13,11
"6553","normalization",13,7
"6710","tackle",13,13
"6719","avoiding",13,13
"6758","spread",13,12
"6772","illustrative",13,12
"6775","display",13,13
"6781","equations",13,10
"7011","pedagogically",13,13
"7017","quantitatively",13,13
"7051","exposition",13,12
"7212","assembly",13,11
"7217","singapore",13,11
"7392","discrepancies",13,9
"7498","none",13,13
"7570","exception",13,13
"7587","shortcomings",13,12
"7593","interdependent",13,13
"7613","cycles",13,12
"7721","ethnicity",13,11
"7757","surprise",13,9
"7940","customization",13,8
"8030","forums",13,10
"8128","sufficiently",13,13
"8131","healthy",13,11
"8200","specialization",13,11
"8245","outperform",13,12
"8814","tremendous",13,13
"8834","updated",13,13
"8978","invest",13,12
"9134","blind",13,10
"9371","conceptualize",13,13
"9989","behaviours",13,10
"9991","consciousness",13,11
"10216","abs",13,5
"10228","shaping",13,13
"10415","reflexivity",13,12
"10523","break",13,12
"10749","dysfunctional",13,11
"10819","volunteers",13,8
"11384","threats",13,9
"11888","listserv",13,13
"11889","holder",13,13
"12200","propensity",13,10
"12378","casino",13,5
"12650","bearing",13,12
"13558","ohs",13,2
"13665","hedge",13,7
"14582","exemplary",13,11
"14816","jole",13,3
"17331","minicases",13,4
"597","flags",12,12
"686","title",12,12
"717","producer",12,9
"724","december",12,11
"750","respondent",12,10
"959","assertion",12,12
"1317","tradition",12,11
"1365","shareholder",12,12
"1384","seller",12,9
"1485","medicine",12,8
"1508","placements",12,7
"1515","capacities",12,12
"1580","appearing",12,12
"1687","interplay",12,12
"1697","cues",12,9
"1723","adjusting",12,12
"1742","declines",12,10
"1786","named",12,10
"1818","independently",12,12
"1885","articulated",12,12
"1897","allocated",12,12
"2050","minimizing",12,12
"2052","how",12,12
"2095","meant",12,11
"2116","investing",12,12
"2183","meets",12,11
"2244","divergent",12,11
"2454","concluding",12,12
"2517","constrained",12,11
"2564","diagrammatic",12,7
"2603","file",12,12
"2607","freely",12,12
"2672","arrangements",12,11
"2844","worst",12,12
"2845","recession",12,12
"2855","sfas",12,9
"2926","assuming",12,11
"2935","millions",12,12
"2945","arrive",12,12
"3045","stated",12,12
"3056","lies",12,12
"3070","grouped",12,12
"3146","pervasive",12,12
"3175","scenes",12,8
"3187","provider",12,12
"3219","administrator",12,12
"3221","scholar",12,10
"3250","scaffolding",12,10
"3347","captures",12,9
"3361","kmart",12,2
"3472","reinforced",12,11
"3705","southeastern",12,12
"3850","bar",12,11
"3898","cut",12,11
"3907","precise",12,10
"3926","answered",12,12
"3938","conceptualizing",12,12
"4007","elicit",12,11
"4051","decreasing",12,12
"4164","performs",12,12
"4179","severe",12,10
"4186","refined",12,11
"4266","missions",12,12
"4287","merely",12,12
"4323","permanent",12,7
"4377","lease",12,4
"4381","accordance",12,11
"4515","endeavor",12,12
"4574","pharmaceutical",12,8
"4628","resultant",12,12
"4646","reaching",12,12
"4682","spectrum",12,12
"4705","substance",12,8
"4755","shortages",12,5
"4803","analogy",12,8
"4818","concluded",12,12
"4846","temporary",12,11
"4861","reinforcing",12,12
"4871","chairman",12,11
"4877","iterative",12,12
"4892","dealt",12,12
"4931","paying",12,11
"5030","restaurants",12,11
"5092","permit",12,7
"5130","citizenship",12,10
"5199","stored",12,9
"5366","ups",12,10
"5385","disadvantaged",12,11
"5455","unfamiliar",12,12
"5480","defend",12,10
"5648","blue",12,6
"5737","legacy",12,10
"5752","spend",12,12
"5776","driving",12,12
"5984","reserve",12,9
"6005","sal",12,5
"6044","log",12,7
"6179","join",12,11
"6203","modifications",12,11
"6228","opening",12,12
"6266","worker",12,11
"6315","transform",12,11
"6352","formulated",12,12
"6392","urban",12,8
"6454","scarce",12,12
"6572","adaptation",12,12
"6752","interacting",12,11
"6763","daunting",12,12
"6883","storage",12,10
"6912","sourcing",12,8
"7030","theoretic",12,10
"7039","outreach",12,7
"7084","sided",12,4
"7102","coding",12,12
"7103","illuminate",12,12
"7108","command",12,6
"7125","bridging",12,12
"7137","military",12,8
"7378","implied",12,9
"7408","coefficients",12,11
"7633","sequenced",12,9
"8054","alliances",12,6
"8197","frames",12,10
"8450","submissions",12,7
"8455","sellers",12,8
"8474","moved",12,12
"8503","rent",12,5
"8532","keynesian",12,11
"8641","gauge",12,11
"8668","relied",12,12
"8700","midterm",12,7
"8711","autonomous",12,8
"8818","tariff",12,4
"8841","curiosity",12,6
"8854","survival",12,10
"8875","honors",12,9
"8910","persistent",12,10
"8915","man",12,9
"9107","continuum",12,6
"9246","authority",12,9
"9331","parity",12,6
"9368","applicants",12,10
"9420","advocacy",12,8
"9671","parks",12,6
"9826","confident",12,12
"9915","interestingly",12,12
"9970","desirability",12,9
"10021","journaling",12,7
"10073","mindsets",12,4
"10117","purposeful",12,11
"10175","contributors",12,10
"10190","discourses",12,10
"10209","sdl",12,3
"10247","lecturing",12,12
"10248","podcasts",12,5
"10312","vis",12,5
"10338","begun",12,12
"10431","salespeople",12,7
"10468","emotionally",12,10
"10527","poetry",12,8
"10633","sex",12,7
"10854","bsc",12,4
"11002","kouzes",12,8
"11003","posner",12,8
"11596","rae",12,4
"11642","nascent",12,7
"11777","recreation",12,8
"11887","emailed",12,12
"11892","warranty",12,12
"11925","anchored",12,7
"12145","camp",12,7
"12234","heritage",12,7
"12341","scotland",12,12
"12429","dishonesty",12,8
"12735","whitney",12,12
"13053","slides",12,8
"13388","certificate",12,11
"14360","cal",12,2
"14838","cip",12,1
"16810","bloomberg",12,3
"17983","cyberbullying",12,3
"51","diversified",11,10
"261","payments",11,9
"393","fluctuations",11,8
"443","compute",11,11
"631","schemes",11,10
"636","investigations",11,10
"668","litigation",11,6
"735","requests",11,9
"762","filed",11,9
"781","uncovered",11,11
"1006","convey",11,11
"1009","authoritative",11,11
"1217","firsthand",11,9
"1423","proof",11,11
"1521","deployment",11,11
"1566","chances",11,10
"1615","enroll",11,10
"1638","dream",11,8
"1738","fcpa",11,2
"1790","confronted",11,11
"1794","jurisdictions",11,8
"1829","allen",11,8
"1843","academe",11,10
"1949","breakeven",11,8
"1957","radical",11,10
"2002","excessive",11,10
"2157","founder",11,9
"2181","expenses",11,9
"2185","david",11,10
"2195","technically",11,11
"2223","oversight",11,10
"2239","voting",11,8
"2400","mark",11,10
"2789","observing",11,11
"2878","averages",11,10
"2894","deliberative",11,4
"2943","nonaccounting",11,7
"2966","load",11,10
"2973","prescriptive",11,11
"3040","impediments",11,9
"3053","submit",11,11
"3074","notably",11,11
"3184","critics",11,10
"3194","calculating",11,11
"3198","really",11,11
"3463","restore",11,10
"3507","creatively",11,11
"3540","faster",11,9
"3612","continuity",11,10
"3659","profound",11,11
"3676","categorize",11,11
"3756","realism",11,11
"3757","querying",11,6
"3783","featuring",11,11
"3834","myers",11,11
"3835","briggs",11,11
"3975","republic",11,10
"3978","carrying",11,9
"3995","declined",11,11
"4145","reengineering",11,6
"4187","fulfill",11,10
"4202","stability",11,10
"4270","revisions",11,11
"4396","graph",11,8
"4412","dissatisfied",11,10
"4428","what",11,11
"4452","prominence",11,11
"4462","coherent",11,11
"4522","waste",11,7
"4537","cutting",11,9
"4546","updates",11,11
"4639","supplier",11,7
"4749","initiate",11,11
"4790","fulfilling",11,11
"4819","retained",11,9
"4848","stable",11,11
"4866","answering",11,11
"4876","maintained",11,11
"4883","honesty",11,9
"4896","incurred",11,11
"4914","wanted",11,9
"4915","lifestyle",11,9
"4973","robert",11,10
"5000","evaluative",11,9
"5008","weekly",11,10
"5109","seminal",11,11
"5174","sunk",11,5
"5189","lends",11,11
"5214","anonymous",11,10
"5220","replicate",11,11
"5260","southeast",11,11
"5273","assists",11,11
"5437","august",11,11
"5443","surplus",11,8
"5445","district",11,6
"5475","confronting",11,11
"5501","span",11,11
"5508","launched",11,10
"5543","unaware",11,10
"5590","practically",11,11
"5610","adapting",11,11
"5615","elsewhere",11,11
"5685","evolve",11,11
"5696","encouragement",11,9
"5713","relying",11,11
"5754","refers",11,11
"5796","educated",11,10
"5799","impressions",11,11
"5837","eastern",11,8
"5951","announced",11,11
"5989","pooling",11,3
"6004","clarifying",11,11
"6045","dividend",11,8
"6077","pivotal",11,11
"6188","squares",11,11
"6222","say",11,10
"6262","ahp",11,6
"6413","animations",11,3
"6465","pure",11,11
"6479","lego",11,8
"6671","slightly",11,11
"6717","alternate",11,11
"6728","puts",11,11
"6770","convenient",11,8
"6803","iii",11,10
"6902","aided",11,8
"6996","upward",11,10
"7047","aligning",11,9
"7391","sigma",11,4
"7411","correlate",11,10
"7457","typology",11,9
"7516","illinois",11,6
"7559","campaign",11,9
"7582","speak",11,10
"7667","engine",11,7
"7673","routinely",11,10
"7821","augment",11,11
"7872","populations",11,11
"8007","videoconferencing",11,6
"8139","tendencies",11,8
"8153","trip",11,8
"8164","pragmatic",11,11
"8224","operated",11,11
"8284","island",11,5
"8295","collaborations",11,10
"8300","overwhelmingly",11,11
"8303","reluctant",11,11
"8349","microeconomic",11,10
"8364","inter",11,10
"8592","persuasive",11,9
"8764","pollution",11,7
"8776","wage",11,6
"8809","divide",11,8
"8856","square",11,10
"8940","lags",11,7
"8987","incidence",11,9
"9123","systematically",11,11
"9200","east",11,10
"9297","candidate",11,9
"9353","humanities",11,6
"9391","overwhelming",11,11
"9393","assumes",11,11
"9396","regions",11,9
"9408","accepting",11,11
"9470","exports",11,8
"9859","forty",11,11
"10088","hofstede",11,9
"10166","internalization",11,9
"10202","facilitator",11,11
"10291","discriminant",11,8
"10364","teachable",11,8
"10396","intergroup",11,6
"10492","transformed",11,11
"10544","empathy",11,10
"10545","conferences",11,11
"10582","appreciative",11,6
"10619","worldview",11,7
"10625","proposing",11,11
"10711","linkages",11,11
"10969","sri",11,5
"11317","aspiring",11,10
"11325","road",11,9
"11768","reached",11,11
"11827","behavioural",11,11
"11859","attractiveness",11,9
"11897","honours",11,7
"12252","father",11,8
"12270","multidimensional",11,11
"12315","thirty",11,11
"12365","housed",11,9
"12458","dominate",11,11
"12683","affairs",11,8
"13436","ifrss",11,5
"13537","pci",11,2
"14344","solo",11,3
"14594","komives",11,8
"15529","brands",11,8
"17468","sdlc",11,3
"234","receives",10,9
"425","governments",10,10
"548","carolina",10,7
"678","civil",10,7
"681","charged",10,10
"780","theft",10,5
"843","responsive",10,10
"870","occupational",10,6
"934","border",10,5
"972","november",10,10
"983","grew",10,10
"1263","catholic",10,5
"1283","sole",10,10
"1304","accompany",10,9
"1386","compromise",10,10
"1458","disagreement",10,9
"1539","herein",10,9
"1541","programmatic",10,8
"1661","materiality",10,8
"1717","remedy",10,10
"1777","ethically",10,9
"1821","pencil",10,7
"1899","outperformed",10,10
"1917","brigham",10,10
"1955","russia",10,6
"2003","embed",10,10
"2008","establishes",10,10
"2067","translation",10,8
"2068","brazil",10,6
"2072","converge",10,9
"2081","safe",10,10
"2175","discretion",10,9
"2186","johnson",10,7
"2221","formally",10,10
"2229","pacific",10,8
"2298","liabilities",10,9
"2312","discounted",10,10
"2389","plant",10,8
"2442","intentionally",10,10
"2472","underlie",10,9
"2492","pronounced",10,10
"2552","appointment",10,5
"2646","unlikely",10,10
"2714","winter",10,6
"2810","obligation",10,6
"2927","drawbacks",10,10
"2933","steady",10,9
"2967","clt",10,3
"3079","modification",10,10
"3200","moment",10,9
"3205","month",10,9
"3316","titles",10,10
"3349","consume",10,6
"3378","fresh",10,8
"3430","sarbanes",10,9
"3494","administer",10,9
"3520","advent",10,10
"3628","coach",10,9
"3665","car",10,7
"3712","joining",10,10
"3784","competences",10,7
"3792","resolved",10,10
"3822","jeopardy",10,7
"3832","psychometric",10,10
"3844","awards",10,9
"3928","researching",10,10
"3931","electric",10,8
"3968","absolute",10,9
"3981","complain",10,4
"4030","variances",10,5
"4039","signal",10,9
"4045","obvious",10,8
"4146","innovate",10,10
"4151","remaining",10,10
"4155","targets",10,10
"4244","eva",10,3
"4296","embracing",10,10
"4306","that",10,10
"4413","constantly",10,9
"4471","spaces",10,10
"4615","paramount",10,10
"4688","progressive",10,10
"4761","rejected",10,5
"4764","round",10,10
"4773","reviewers",10,8
"4804","comprehend",10,10
"4812","fuel",10,6
"4966","earning",10,10
"4992","delta",10,7
"4993","dominates",10,10
"5081","vignettes",10,8
"5104","fundamentally",10,10
"5123","internationally",10,9
"5124","miller",10,10
"5127","false",10,9
"5208","league",10,7
"5267","prevention",10,7
"5282","repetition",10,7
"5283","contention",10,9
"5293","privately",10,9
"5409","benefited",10,10
"5427","ramifications",10,10
"5451","outlook",10,9
"5512","wrong",10,10
"5515","inevitable",10,10
"5541","societies",10,9
"5710","cloud",10,3
"5718","millennial",10,7
"5725","attached",10,9
"5743","import",10,7
"5763","determines",10,10
"5864","transparency",10,9
"5917","messages",10,8
"5950","june",10,10
"5958","turnitin",10,4
"6008","traces",10,10
"6035","regime",10,7
"6095","biased",10,9
"6125","constraint",10,9
"6129","sat",10,6
"6149","grid",10,8
"6163","devised",10,10
"6190","piece",10,10
"6288","servers",10,6
"6391","queueing",10,7
"6453","algorithms",10,6
"6477","passed",10,9
"6508","seldom",10,10
"6531","thousands",10,10
"6596","segmentation",10,9
"6616","animated",10,5
"6617","graphics",10,8
"6776","wireless",10,8
"6856","isolation",10,10
"6857","comprise",10,10
"6890","buyers",10,7
"6903","satisfactory",10,8
"6948","heuristic",10,9
"6974","revising",10,10
"6976","paradox",10,7
"7061","constitute",10,10
"7064","restrictions",10,8
"7166","administering",10,9
"7170","thirds",10,10
"7187","theses",10,7
"7189","pressing",10,10
"7273","adopts",10,10
"7320","worse",10,10
"7395","channels",10,9
"7464","underpinnings",10,10
"7484","brain",10,7
"7501","blend",10,9
"7562","confirmatory",10,9
"7608","wbi",10,2
"7623","cohesion",10,7
"7677","generalizability",10,10
"7720","official",10,7
"7726","mediating",10,10
"7777","genuine",10,10
"7784","progression",10,5
"7786","criticized",10,8
"7798","richness",10,9
"7841","front",10,8
"7857","continuously",10,10
"7933","successive",10,9
"8020","tried",10,10
"8052","alliance",10,6
"8082","qualitatively",10,10
"8112","finite",10,7
"8126","nationally",10,10
"8143","notable",10,10
"8151","else",10,10
"8181","practicum",10,6
"8193","signs",10,10
"8202","interdependence",10,8
"8226","collaborating",10,9
"8375","perfect",10,7
"8386","george",10,8
"8408","spain",10,9
"8422","spanish",10,9
"8486","prize",10,8
"8569","generalizable",10,10
"8654","treat",10,10
"8661","blog",10,5
"8671","proficiencies",10,5
"8884","confirms",10,10
"8942","deepen",10,9
"8960","advertisements",10,9
"8966","lending",10,8
"9072","fell",10,9
"9105","reciprocal",10,8
"9133","personally",10,9
"9154","controversy",10,9
"9163","irr",10,4
"9305","interpreted",10,10
"9577","doctorates",10,5
"9769","compatible",10,7
"9934","uae",10,6
"10014","instructor",10,10
"10100","tomorrow",10,10
"10243","likert",10,10
"10335","voluntarily",10,7
"10352","grounding",10,10
"10365","moments",10,7
"10539","pierce",10,4
"10543","halo",10,4
"10845","openness",10,10
"10891","ideological",10,7
"11001","emba",10,5
"11055","appraisal",10,8
"11060","attained",10,9
"11246","spanning",10,10
"11465","rbv",10,4
"11808","recognised",10,9
"11969","swiss",10,5
"12045","biggs",10,7
"12451","functionality",10,8
"12495","prolific",10,8
"12508","impacting",10,10
"13102","sme",10,6
"13201","signals",10,5
"13383","scholes",10,7
"13482","routine",10,10
"13782","disengagement",10,4
"13888","chartered",10,9
"13913","ethnographic",10,6
"14067","judgements",10,5
"14450","adler",10,4
"14485","porter",10,8
"14540","university",10,9
"14678","educators",10,7
"14788","victims",10,6
"15893","alcatel",10,1
"16708","ebit",10,2
"16777","wacc",10,4
"17027","mirr",10,4
"260","accounted",9,9
"292","fostered",9,8
"343","pcaob",9,7
"347","necessitates",9,9
"419","uncertainties",9,8
"630","affinity",9,5
"775","regulators",9,9
"882","hereafter",9,8
"935","mergers",9,7
"991","weakness",9,8
"1090","projections",9,8
"1132","evolves",9,9
"1253","devote",9,9
"1455","fifth",9,7
"1641","custom",9,7
"1644","candy",9,6
"1703","strengthening",9,9
"1712","prerequisites",9,7
"1908","tenuretrack",9,6
"1939","interpretations",9,9
"1943","afforded",9,9
"1947","deficiency",9,9
"2005","indications",9,9
"2049","overload",9,8
"2080","legislation",9,7
"2105","switching",9,7
"2134","controller",9,9
"2171","counts",9,8
"2214","movements",9,9
"2218","releases",9,9
"2301","proprietary",9,9
"2304","advisor",9,8
"2385","codification",9,8
"2388","gross",9,8
"2409","geographical",9,9
"2491","classify",9,9
"2519","attributable",9,9
"2523","deans",9,7
"2636","merchandise",9,8
"2716","colors",9,4
"2816","instill",9,7
"2819","supplementary",9,9
"2828","vendor",9,8
"2874","trajectory",9,9
"2931","downturn",9,7
"2941","composed",9,9
"2986","implementations",9,8
"3007","worksheet",9,6
"3047","barrier",9,8
"3129","staffing",9,7
"3148","allocations",9,7
"3159","unless",9,9
"3195","contrasting",9,8
"3243","offices",9,9
"3245","manufacturers",9,9
"3284","ensuing",9,9
"3318","concurrent",9,8
"3325","coso",9,7
"3352","searching",9,9
"3375","gone",9,9
"3431","oxley",9,8
"3503","heightened",9,8
"3504","illegal",9,8
"3526","ignore",9,9
"3533","cite",9,8
"3610","remote",9,7
"3618","lacks",9,9
"3646","vast",9,9
"3651","strict",9,7
"3698","impart",9,9
"3714","telephone",9,9
"3725","committees",9,7
"3754","narratives",9,7
"3788","sporting",9,4
"3808","consortium",9,7
"3810","fine",9,9
"3812","chains",9,9
"3852","depended",9,7
"3876","scandal",9,8
"3891","treatments",9,9
"3985","patents",9,6
"4009","comprises",9,9
"4061","loosely",9,9
"4076","connects",9,9
"4080","lacked",9,6
"4124","walk",9,8
"4148","driver",9,9
"4150","factory",9,7
"4175","claimed",9,8
"4181","bureau",9,7
"4220","residual",9,4
"4261","february",9,9
"4282","inherently",9,9
"4293","viewpoint",9,8
"4305","suit",9,8
"4319","knowledgeable",9,9
"4346","featured",9,9
"4347","fortune",9,8
"4386","schedules",9,7
"4397","parsimonious",9,7
"4436","perry",9,2
"4467","characterize",9,9
"4481","ties",9,8
"4487","purchased",9,9
"4493","manipulated",9,9
"4571","boom",9,6
"4573","questioned",9,9
"4584","valuing",9,9
"4616","survive",9,9
"4620","delayed",9,7
"4711","sociology",9,8
"4742","diagnostic",9,9
"4753","heads",9,8
"4827","appendices",9,9
"4853","reasoned",9,8
"4859","ibm",9,5
"4894","interdependencies",9,8
"4967","maintains",9,9
"5011","alongside",9,9
"5025","viewpoints",9,8
"5061","gmat",9,7
"5120","simultaneous",9,9
"5126","bell",9,5
"5191","origins",9,9
"5201","pro",9,7
"5212","fee",9,5
"5216","someone",9,9
"5253","tangible",9,9
"5357","sponsoring",9,9
"5361","overconfidence",9,4
"5383","racial",9,7
"5651","warranted",9,9
"5676","mtc",9,1
"5750","opportunistic",9,6
"5766","unconscious",9,6
"5767","deliberate",9,9
"5801","homogeneous",9,9
"5806","conversely",9,9
"5869","netherlands",9,8
"5875","huge",9,8
"5889","vendors",9,9
"5897","france",9,8
"5914","pictures",9,7
"5925","pacioli",9,4
"5948","faculties",9,9
"6016","motion",9,7
"6028","ncaa",9,3
"6053","migration",9,5
"6096","avoidance",9,9
"6103","possessed",9,8
"6119","anchor",9,5
"6157","cells",9,6
"6232","predicts",9,8
"6243","ins",9,7
"6265","ubiquitous",9,9
"6274","venue",9,8
"6294","parameter",9,9
"6297","overcomes",9,9
"6324","commit",9,8
"6353","industrialengineering",9,9
"6434","stochastic",9,9
"6487","visualization",9,7
"6491","informatics",9,4
"6535","stop",9,9
"6548","weighting",9,6
"6586","stemming",9,9
"6601","horizon",9,8
"6606","cornell",9,8
"6609","concentrations",9,7
"6633","ordering",9,8
"6672","alter",9,8
"6689","empowered",9,8
"6715","branch",9,7
"6732","serial",9,7
"6771","visible",9,9
"6793","friendly",9,9
"6846","substitute",9,9
"6869","dea",9,2
"6889","quo",9,9
"6895","turning",9,8
"6954","football",9,4
"6980","vehicles",9,9
"7001","conjoint",9,8
"7036","compulsory",9,9
"7049","pennsylvania",9,8
"7053","israel",9,6
"7074","patient",9,4
"7168","postsecondary",9,7
"7219","residential",9,7
"7274","participative",9,8
"7290","functioning",9,8
"7312","marked",9,9
"7437","clarifies",9,9
"7455","defines",9,9
"7603","exchanges",9,8
"7695","simplify",9,9
"7698","artificial",9,9
"7820","accomplishing",9,9
"7839","caveats",9,9
"7900","arab",9,6
"7912","functionally",9,8
"7918","speaker",9,4
"8050","latent",9,8
"8121","talent",9,8
"8123","executed",9,9
"8146","extrinsic",9,7
"8216","alcohol",9,4
"8220","technologically",9,8
"8391","james",9,9
"8437","undertook",9,9
"8492","dependence",9,7
"8501","endogenous",9,7
"8516","maximizing",9,8
"8570","supervision",9,6
"8571","capitalism",9,6
"8712","clearer",9,9
"8716","simpler",9,9
"8746","fifty",9,8
"8747","reasonably",9,9
"8755","don",9,8
"8796","wages",9,6
"8804","economically",9,9
"8843","substitution",9,6
"8897","corruption",9,4
"8909","thinkers",9,9
"8917","pair",9,7
"8934","aftermarket",9,1
"9097","meaningfully",9,8
"9174","authors",9,9
"9255","niche",9,8
"9265","riding",9,7
"9301","recitation",9,4
"9334","tariffs",9,4
"9400","ideals",9,7
"9545","coupon",9,6
"9660","semantic",9,7
"9755","mock",9,7
"9766","laissez",9,6
"9767","faire",9,6
"9830","bandura",9,8
"9857","dispositions",9,5
"9899","exploitation",9,6
"9935","datasets",9,6
"9954","emergent",9,9
"9965","adolescents",9,5
"10004","belonging",9,5
"10016","striving",9,8
"10031","commercially",9,9
"10059","aol",9,4
"10063","deductive",9,6
"10139","peoples",9,9
"10210","recognising",9,9
"10217","critiques",9,8
"10273","greek",9,6
"10299","var",9,2
"10430","empowering",9,8
"10514","kim",9,6
"10515","cameron",9,3
"10547","inclusive",9,9
"10597","delineated",9,9
"10624","bubble",9,4
"10684","periodic",9,6
"10694","tensions",9,9
"10774","talents",9,6
